COUNTRY,GDP,Internet Speed,Consumption of Pure Alcohol,Intentional Homicide Victims,Military Expenditures,Human Development Index,Democracy Index,Tertiary Education,Importance of Religion (in %),% of Christians,% of Muslims,% of Buddhists,% of Jews,Under-Five Mortality,Age of Criminal Responsability,Minimal Wage,External Debt (% of GDP),Gini (in %),Health Expenditure,Suicide Rate
Kuwait,31999.0,130.66,0.0,1.8,,0.806,3.8,,91.0,15.0,74.6,2.8,,7.9,7.0,2372.0,51.0,,3669.0,2.7
Kyrgyz Republic,,,,,,,,,,,,,,,,,,,,
Kyrgyzstan,1318.0,48.12,6.2,2.2,,0.697,4.21,,72.0,14.2,85.0,0.1,0.0025,18.3,14.0,196.0,112.0,27.7,260.0,8.3
Laos,2625.0,43.98,10.4,,,0.613,1.77,,97.0,2.2,0.1,66.1,,45.5,15.0,1869.0,53.0,36.4,167.0,6.0
Latvia,17885.0,128.69,12.9,4.4,,0.866,7.24,40.0,39.0,75.0,0.15,0.1,0.029,3.6,14.0,6853.0,126.0,35.6,1896.0,16.1
Lebanon,7784.0,,1.5,2.5,,0.744,4.16,,87.0,39.5,57.7,0.2,,7.2,,5212.0,63.0,31.8,1086.0,2.8
Lesotho,1158.0,,5.0,43.6,,0.527,6.3,,,90.0,0.1,0.1,,86.4,,978.0,53.0,44.9,309.0,87.5
Liberia,523.0,,5.8,3.3,,0.48,5.32,,94.0,85.5,20.0,0.1,,84.6,,774.0,51.0,35.3,12643.0,7.4
Libya,4810.0,,0.0,,,0.724,1.95,,,2.7,97.0,0.3,,11.5,14.0,3863.0,9.0,,,4.5
Liechtenstein,179258.0,193.79,,2.6,,0.919,,,,84.4,5.4,0.1,,,14.0,,0.0,,,
Lithuania,19795.0,132.67,15.0,4.6,,0.882,7.13,55.0,42.0,83.7,0.1,0.1,0.015,3.7,14.0,8054.0,74.0,37.3,2313.0,20.2
Luxembourg,115481.0,154.26,13.0,0.3,,0.916,8.68,50.0,39.0,72.4,2.3,0.1,0.0038,2.8,18.0,28438.0,22.1,34.9,6048.0,8.6
Macau,84097.0,170.3,,0.3,,,,,,,0.1,17.3,,,,9897.0,,,,
Macedonia,,,8.1,,,,,,,,,,,,,,,,,
Madagascar,523.0,41.4,1.9,,,0.528,5.7,,93.0,85.0,10.0,0.1,0.00063,50.6,,397.0,41.0,42.6,79.0,9.2
Malawi,435.0,,3.7,1.8,,0.483,5.74,,99.0,81.95,20.0,0.1,,41.6,,288.0,39.0,44.7,120.0,10.6
Malaysia,11414.0,103.34,0.9,2.1,,0.81,7.19,,96.0,9.2,61.3,19.8,,8.6,10.0,2663.0,68.0,41.0,1194.0,5.8
Maldives,10626.0,,2.7,0.7,,0.74,,,,0.08,100.0,0.6,,7.6,,,23.0,31.3,1443.0,2.8
Mali,887.0,,1.3,,,0.434,3.93,,95.0,2.4,95.0,0.1,,94.0,,583.0,26.0,33.0,90.0,8.0
Malta,33752.0,134.48,8.1,1.6,,0.895,7.68,,86.0,91.6,2.6,0.1,0.00063,7.0,,10668.0,691.0,29.2,3897.0,5.3
Marshall Islands,4038.0,,,,,0.704,,,,,0.1,,,31.8,,4160.0,52.0,,677.0,
Martinique,,,,2.8,,,,,,,0.2,0.1,,,,,,,,
Mauritania,1678.0,,0.0,,,0.546,3.92,,98.0,0.14,99.9,,,72.9,7.0,981.0,76.0,32.6,190.0,5.5
Mauritius,11169.0,,3.6,2.9,,0.804,8.14,,,32.2,17.3,0.1,,16.0,,2983.0,2007.0,36.8,1381.0,8.8
Mayotte,,,,5.9,,,,,,,97.0,,,,,,,,,
Mexico,9849.0,48.35,6.5,29.1,,0.779,6.07,21.0,73.0,88.9,0.01,0.1,0.25,14.2,12.0,3266.0,43.0,45.4,1066.0,5.3
Micronesia,3640.0,,2.5,,,0.62,,,,,0.1,,,29.4,,,29.0,40.1,414.0,29.0
Moldova,2957.0,114.01,15.2,4.1,,0.75,5.78,,72.0,95.3,0.4,,0.012,14.4,14.0,1895.0,70.0,25.7,480.0,12.2
Monaco,190532.0,220.35,,0.0,,,,,,82.6,0.8,,,3.1,,24092.0,240.0,,2983.0,
Mongolia,4295.0,43.67,7.4,6.2,,0.737,6.48,,,1.3,5.0,55.1,,15.6,14.0,1892.0,245.0,32.7,519.0,18.0
Montenegro,8825.0,64.44,8.0,2.2,,0.829,5.77,,71.0,78.8,19.1,0.1,,2.3,14.0,2645.0,151.0,39.0,1711.0,16.2
Montserrat,13487.0,,,20.3,,,,,,,0.1,,,,,,2.0,,,
Morocco,3282.0,,0.6,1.4,,0.686,5.04,,97.0,1.0,99.0,0.1,0.013,21.4,12.0,3736.0,46.0,39.5,467.0,7.3
Mozambique,504.0,,2.4,3.5,,0.456,3.51,,86.0,56.1,17.9,0.1,,74.2,16.0,576.0,72.0,54.0,118.0,23.2
Myanmar,1421.0,,4.8,2.3,,0.583,3.04,,97.0,6.2,4.3,89.9,,44.7,7.0,672.0,17.0,30.7,292.0,3.0
Namibia,4957.0,,9.8,17.7,,0.646,6.52,,92.0,90.0,0.4,0.1,0.00063,42.4,,,64.0,59.1,883.0,13.5
Nauru,12351.0,,6.0,,,,,,,,0.1,1.1,,30.9,,,22.0,,1174.0,
Nepal,1074.0,,2.0,2.3,,0.602,5.22,,93.0,0.9,4.2,10.3,,30.8,10.0,1430.0,16.0,32.8,180.0,9.8
Netherlands,53053.0,152.94,8.7,0.6,,0.944,8.96,45.0,33.0,40.4,5.1,0.2,0.19,4.0,12.0,23315.0,453.0,28.5,5635.0,9.3
Netherlands Antilles,,,,,,,,,,,0.2,,0.0019,,,,,,,
New Caledonia,34942.0,,,,,,,,,,2.8,0.6,,,,,1.0,,,
